iter	Logloss
0	0.6468352386
1	0.6122415885
2	0.5864124225
3	0.5666888658
4	0.5499928275
5	0.5379226295
6	0.5274439413
7	0.5194397666
8	0.5120972006
9	0.5070161256
10	0.5025143984
11	0.4983394358
12	0.4954750864
13	0.4928885375
14	0.4907531389
15	0.4891298336
16	0.4870210212
17	0.4858528915
18	0.4848480123
19	0.4836144641
20	0.4828301966
21	0.4823026122
22	0.4815424391
23	0.480810882
24	0.4801670062
25	0.4793794853
26	0.4788596098
27	0.4781950892
28	0.4778711316
29	0.4775902063
30	0.4773319175
31	0.4769283273
32	0.4766720458
33	0.4762821754
34	0.4761208917
35	0.4759466416
36	0.4756977423
37	0.4755451118
38	0.4754099144
39	0.4752826144
40	0.4749606732
41	0.4747795098
42	0.4746581717
43	0.4744966178
44	0.4742922476
45	0.474180242
46	0.4739989442
47	0.4738517356
48	0.4737364139
49	0.4735579888
50	0.4733977717
51	0.4732627884
52	0.4731529316
53	0.472969954
54	0.4728496668
55	0.4727419705
56	0.4726717567
57	0.472609682
58	0.4725247954
59	0.4724708766
60	0.4723422994
61	0.4722529237
62	0.4721172697
63	0.4720194175
64	0.4719456258
65	0.471858385
66	0.4717358222
67	0.4716662039
68	0.4715934432
69	0.471420122
70	0.4713419051
71	0.4712382562
72	0.4711039968
73	0.4710548792
74	0.470962314
75	0.4709079667
76	0.4707464705
77	0.4705857011
78	0.4705145698
79	0.4704364246
80	0.4703688407
81	0.4702886396
82	0.4701447156
83	0.4700861555
84	0.4700230952
85	0.4699641577
86	0.4698981195
87	0.4698165098
88	0.4697265753
89	0.4696492767
90	0.469563738
91	0.4694882259
92	0.4694338809
93	0.4692893016
94	0.4692278272
95	0.4691700252
96	0.4691072828
97	0.4690297223
98	0.4689902229
99	0.4689030844
100	0.4688336433
101	0.468790287
102	0.46876151
103	0.468682486
104	0.4686444338
105	0.4686101659
106	0.46847291
107	0.4683637415
108	0.4682686591
109	0.4682222782
110	0.4681655862
111	0.4680964666
112	0.4680543365
113	0.4680068985
114	0.4679086545
115	0.4677853347
116	0.4676435368
117	0.4675482959
118	0.4674820053
119	0.4673693081
120	0.4672462612
121	0.4671811611
122	0.4671221673
123	0.4670561285
124	0.4669965732
125	0.4669343682
126	0.466890522
127	0.4668335726
128	0.4667150239
129	0.4666117715
130	0.4665492557
131	0.4664937712
132	0.466450182
133	0.4663762777
134	0.4662689265
135	0.4662138597
136	0.4661668629
137	0.4660678267
138	0.4659858602
139	0.4659083945
140	0.4658685492
141	0.4657537434
142	0.4656931855
143	0.4656400315
144	0.4655740255
145	0.4654799343
146	0.4654235654
147	0.4653481693
148	0.4652817464
149	0.4651833449
150	0.4651269795
151	0.465054563
152	0.4650212651
153	0.4649427182
154	0.4648733146
155	0.4648068716
156	0.4647653579
157	0.4646747193
158	0.4646066663
159	0.4645468889
160	0.4644833769
161	0.4644183861
162	0.4643262544
163	0.4642748248
164	0.4641965587
165	0.4641040052
166	0.4640452187
167	0.4639532913
168	0.4639069211
169	0.4638541191
170	0.463818357
171	0.4637567831
172	0.4636777222
173	0.4635849688
174	0.4635136916
175	0.4634482306
176	0.4634139964
177	0.4633602042
178	0.4633186272
179	0.4632741706
180	0.463228587
