iter	Passed	Remaining
0	27	27025
1	53	26578
2	79	26321
3	104	26126
4	128	25649
5	154	25523
6	180	25598
7	206	25594
8	233	25765
9	260	25740
10	285	25691
11	311	25625
12	337	25644
13	363	25619
14	390	25671
15	419	25781
16	445	25735
17	472	25764
18	499	25764
19	524	25679
20	555	25893
21	584	25997
22	611	25973
23	639	25991
24	664	25932
25	690	25863
26	715	25791
27	740	25712
28	767	25700
29	793	25670
30	818	25595
31	844	25550
32	870	25496
33	896	25485
34	923	25451
35	949	25429
36	974	25357
37	998	25267
38	1023	25223
39	1050	25211
40	1075	25167
41	1102	25140
42	1127	25100
43	1154	25081
44	1178	25009
45	1204	24970
46	1230	24959
47	1256	24913
48	1280	24849
49	1305	24803
50	1328	24729
51	1353	24682
52	1381	24680
53	1406	24645
54	1432	24605
55	1458	24577
56	1482	24518
57	1507	24485
58	1531	24429
59	1557	24400
60	1583	24370
61	1609	24356
62	1637	24350
63	1664	24344
64	1689	24308
65	1715	24276
66	1739	24223
67	1763	24175
68	1791	24177
69	1817	24147
70	1842	24111
71	1867	24066
72	1893	24045
73	1919	24025
74	1945	23998
75	1971	23972
76	1997	23939
77	2023	23917
78	2048	23887
79	2075	23871
80	2103	23867
81	2128	23829
82	2156	23821
83	2180	23779
84	2206	23754
85	2232	23722
86	2256	23677
87	2281	23640
88	2307	23620
89	2333	23592
90	2359	23566
91	2386	23549
92	2413	23537
93	2437	23489
94	2462	23462
95	2486	23417
96	2514	23408
97	2539	23373
98	2565	23349
99	2592	23330
100	2617	23300
101	2646	23300
102	2671	23264
103	2694	23212
104	2722	23204
105	2747	23171
106	2773	23148
107	2799	23120
108	2827	23108
109	2852	23079
110	2876	23038
111	2901	23004
112	2927	22977
113	2953	22954
114	2981	22941
115	3008	22923
116	3030	22874
117	3057	22851
118	3082	22818
119	3109	22804
120	3135	22774
121	3159	22735
122	3185	22710
123	3209	22677
124	3235	22648
125	3260	22613
126	3285	22582
127	3311	22561
128	3337	22533
129	3363	22509
130	3392	22501
131	3417	22473
132	3442	22443
133	3468	22419
134	3494	22393
135	3519	22356
136	3542	22315
137	3567	22282
138	3592	22254
139	3618	22230
140	3646	22217
141	3673	22193
142	3701	22180
143	3726	22153
144	3753	22133
145	3779	22107
146	3806	22088
147	3831	22055
148	3857	22031
149	3883	22005
150	3910	21985
151	3936	21961
152	3960	21925
153	3985	21896
154	4013	21877
155	4039	21855
156	4066	21836
157	4092	21808
158	4118	21782
159	4144	21757
160	4170	21734
161	4195	21704
162	4221	21674
163	4247	21650
164	4271	21615
165	4298	21593
166	4325	21576
